Régime particulier,Nombre places calculées,Adresse complète,Type mobilier,Numéro mobilier,geo_point_2d,Tarif
Vélos,8,176 RUE DE LA ROQUETTE,Nougarette,4,"48.85927218842551, 2.386295201815807",Gratuit
Vélos,8,15 RUE DU GENERAL NIESSEL,Nougarette,4,"48.84888069232155, 2.4091738546798966",Gratuit
Vélos,12,53 RUE DE L' AQUEDUC,Epingle vélo,12,"48.883100026855196, 2.3653571126543196",Gratuit
Vélos,20,63 RUE LEGENDRE,Nougarette,10,"48.886293348791355, 2.317834467435437",Gratuit
Vélos,11,203 RUE LA FAYETTE,Epingle vélo,11,"48.88101629947896, 2.363299860836065",Gratuit
Vélos,3,58 RUE DU CHEVALERET,Epingle vélo,3,"48.82966703930837, 2.3757234151124473",Gratuit
Vélos,18,20 RUE FEUTRIER,Nougarette,9,"48.88705600122982, 2.3464289820712856",Gratuit
Vélos,16,66 RUE VANEAU,Nougarette,8,"48.84985686851063, 2.319838433280714",Gratuit
Vélos,8,112 BD DE CHARONNE,Epingle vélo,8,"48.854221721361284, 2.3963235933554663",Gratuit
Vélos,4,1 RUE DE SCHOMBERG,Nougarette,2,"48.849072855470936, 2.362642327962398",Gratuit
Vélos,12,99 RUE LEGENDRE,Nougarette,6,"48.8884473251289, 2.321531931861888",Gratuit
Vélos,10,22 RUE DE TOCQUEVILLE,Nougarette,5,"48.88323576751426, 2.3128424409778128",Gratuit
Vélos,10,3 RUE DE LA GAITE,Nougarette,5,"48.84072771911667, 2.324460633393307",Gratuit
Vélos,6,115 BD DE SEBASTOPOL,Nougarette,3,"48.86731378778268, 2.353018056720756",Gratuit
Vélos,12,14 PL DE LA NATION,Nougarette,6,"48.84735209617124, 2.395349748423837",Gratuit
Vélos,2,75 AV D' ITALIE,Nougarette,1,"48.825112203190145, 2.3577523841993036",Gratuit
Vélos,28,2 RUE MONSIGNY,Nougarette,14,"48.86832262306466, 2.335141891381738",Gratuit
Vélos,24,22 RUE DAUBIGNY,Nougarette,12,"48.88561117856194, 2.30790276433866",Gratuit
Vélos,24,10 RUE DU SOMMERARD,Nougarette,12,"48.84997426138718, 2.346537021153782",Gratuit
Vélos,10,16 RUE DES ROSES,Nougarette,5,"48.893263624796745, 2.361952607281059",Gratuit
